timestamp,latitude,longitude,sea_surface_temperature,sea_surface_height
2026-09-10 00:00:00,-80.0,-180.0,3.619822,-0.8530605
2026-09-10 00:00:00,-80.0,-178.0,4.0705643,-0.8351255
2026-09-10 00:00:00,-80.0,-176.0,4.1656146,-0.8370508
2026-09-10 00:00:00,-80.0,-174.0,3.885011,-0.8545805
2026-09-10 00:00:00,-80.0,-172.0,3.5624774,-0.8770262
2026-09-10 00:00:00,-80.0,-170.0,4.3315063,-0.81829816
2026-09-10 00:00:00,-80.0,-168.0,3.7049658,-0.809809
2026-09-10 00:00:00,-80.0,-166.0,3.549625,-0.8001165
2026-09-10 00:00:00,-80.0,-164.0,3.999388,-0.7789747
2026-09-10 00:00:00,-80.0,-162.0,3.422107,-0.7556317
2026-09-10 00:00:00,-80.0,-160.0,3.598552,-0.78170663
2026-09-10 00:00:00,-80.0,-158.0,3.931735,-0.7977753
2026-09-10 00:00:00,-80.0,-156.0,3.860399,-0.768367
2026-09-10 00:00:00,-80.0,-154.0,3.6030893,-0.747529
2026-09-10 00:00:00,-80.0,-152.0,3.5503273,-0.7122446
2026-09-10 00:00:00,-80.0,-150.0,3.9998837,-0.7046755
2026-09-10 00:00:00,-80.0,-148.0,3.895588,-0.6867497
2026-09-10 00:00:00,-80.0,-146.0,4.245599,-0.67657304
2026-09-10 00:00:00,-80.0,-144.0,3.8660893,-0.5859683
2026-09-10 00:00:00,-80.0,-142.0,3.7723322,-0.70034873
2026-09-10 00:00:00,-80.0,-140.0,3.8401535,-0.64220494
2026-09-10 00:00:00,-80.0,-138.0,3.7088375,-0.5853674
2026-09-10 00:00:00,-80.0,-136.0,3.9153996,-0.62659883
2026-09-10 00:00:00,-80.0,-134.0,3.1892834,-0.5928322
2026-09-10 00:00:00,-80.0,-132.0,4.1023054,-0.55216485
2026-09-10 00:00:00,-80.0,-130.0,3.5214725,-0.53373086
2026-09-10 00:00:00,-80.0,-128.0,3.4562492,-0.51108015
2026-09-10 00:00:00,-80.0,-126.0,3.8381896,-0.5511138
2026-09-10 00:00:00,-80.0,-124.0,3.795525,-0.5409835
2026-09-10 00:00:00,-80.0,-122.0,3.6437483,-0.46074128
2026-09-10 00:00:00,-80.0,-120.0,3.534726,-0.50919086
2026-09-10 00:00:00,-80.0,-118.0,3.688174,-0.48595747
2026-09-10 00:00:00,-80.0,-116.0,4.1031847,-0.5012469
2026-09-10 00:00:00,-80.0,-114.0,3.5747325,-0.42903227
2026-09-10 00:00:00,-80.0,-112.0,4.070153,-0.51251507
2026-09-10 00:00:00,-80.0,-110.0,3.9676263,-0.5034245
2026-09-10 00:00:00,-80.0,-108.0,4.0267115,-0.4730892
2026-09-10 00:00:00,-80.0,-106.0,3.6899114,-0.44826078
2026-09-10 00:00:00,-80.0,-104.0,3.7108166,-0.48876613
2026-09-10 00:00:00,-80.0,-102.0,3.8912985,-0.443352
2026-09-10 00:00:00,-80.0,-100.0,3.5943167,-0.44555673
2026-09-10 00:00:00,-80.0,-98.0,3.990382,-0.5077693
2026-09-10 00:00:00,-80.0,-96.0,3.686576,-0.4602556
2026-09-10 00:00:00,-80.0,-94.0,3.9938195,-0.4385004
2026-09-10 00:00:00,-80.0,-92.0,3.495679,-0.49333116
2026-09-10 00:00:00,-80.0,-90.0,4.0723596,-0.4676294
2026-09-10 00:00:00,-80.0,-88.0,3.9513612,-0.4565811
2026-09-10 00:00:00,-80.0,-86.0,3.707629,-0.5185563
