timestamp,station,sea_surface_temperature,latitude,longitude,station_id,salinity,current_u,current_v,current_speed,current_direction
2026-09-09 20:00:00,0,22.228827,34.70000076293945,-72.5999984741211,41001,35.255333,0.23183542,-0.11906242,0.26062143,117.18342
2026-09-09 20:00:00,1,23.1408,32.29999923706055,-75.4000015258789,41002,35.084675,0.23247005,-0.0990676,0.25269887,113.08137
2026-09-09 20:00:00,2,22.940641,32.5,-79.0999984741211,41004,35.16496,0.2741786,-0.079899065,0.2855832,106.24677
2026-09-09 20:00:00,3,23.767864,28.5,-80.19999694824219,41009,35.10912,0.2920337,0.012606825,0.29230568,87.52812
2026-09-09 20:00:00,4,23.824125,28.899999618530273,-78.5,41010,35.167427,0.24323885,0.0791384,0.255789,71.97756
2026-09-09 20:00:00,5,26.242,14.5,-53.400001525878906,41040,35.642914,0.08095883,0.18727715,0.20402712,23.378548
2026-09-09 20:00:00,6,25.259153,21.0,-64.80000305175781,41043,35.440594,0.23366672,0.08644887,0.24914563,69.697205
2026-09-09 20:00:00,7,25.405987,21.600000381469727,-65.80000305175781,41044,35.399082,0.18739647,0.09758857,0.21128409,62.491302
2026-09-09 20:00:00,8,24.756563,23.799999237060547,-68.30000305175781,41046,35.440968,0.23279391,0.045182317,0.23713803,79.01618
2026-09-09 20:00:00,9,23.986534,27.5,-71.5,41047,35.380424,0.24588138,0.03687992,0.24863182,81.46976
2026-09-09 20:00:00,10,24.290087,25.899999618530273,-89.69999694824219,42001,35.27837,0.22461265,0.052133843,0.23058356,76.93271
2026-09-09 20:00:00,11,24.325607,26.0,-93.5999984741211,42002,35.273537,0.26745364,0.014257353,0.26783338,86.94858
2026-09-09 20:00:00,12,24.003426,26.0,-85.5999984741211,42003,35.369873,0.26480955,0.041126046,0.26798403,81.17224
2026-09-09 20:00:00,13,23.94063,28.5,-84.5,42036,35.14795,0.31310678,0.054221373,0.3177669,80.1754
2026-09-09 20:00:00,14,23.750896,28.799999237060547,-86.0,42039,35.164684,0.22283664,0.004503103,0.22288214,88.842316
2026-09-09 20:00:00,15,23.538486,29.200000762939453,-88.19999694824219,42040,35.207947,0.36557996,0.10531445,0.38044688,73.92963
2026-09-09 20:00:00,16,24.703876,23.399999618530273,-162.10000610351562,51001,35.766357,0.20267941,0.12357694,0.23738198,58.628654
